,State,Year,Type of power,growthRate,capacity
0,Jammu And Kashmir,2006,Bio-Mass Power,0.0,0.0
1,Jammu And Kashmir,2006,Small Hydro Power,0.0,111.83
2,Jammu And Kashmir,2006,Solar Power,0.0,0.0
3,Jammu And Kashmir,2006,Waste to Energy,0.0,0.0
4,Jammu And Kashmir,2006,Wind Power,0.0,0.0
5,Jammu And Kashmir,2007,Bio-Mass Power,0.0,0.0
6,Jammu And Kashmir,2007,Small Hydro Power,0.0,109.37250107604456
7,Jammu And Kashmir,2007,Solar Power,0.0,0.0
8,Jammu And Kashmir,2007,Waste to Energy,0.0,0.0
9,Jammu And Kashmir,2007,Wind Power,0.0,0.0
10,Jammu And Kashmir,2008,Bio-Mass Power,15.65,0.0
11,Jammu And Kashmir,2008,Small Hydro Power,15.65,111.83
12,Jammu And Kashmir,2008,Solar Power,15.65,0.0
13,Jammu And Kashmir,2008,Waste to Energy,15.65,0.0
14,Jammu And Kashmir,2008,Wind Power,15.65,0.0
15,Jammu And Kashmir,2009,Bio-Mass Power,0.0,0.0
16,Jammu And Kashmir,2009,Small Hydro Power,0.0,129.33
17,Jammu And Kashmir,2009,Solar Power,0.0,0.0
18,Jammu And Kashmir,2009,Waste to Energy,0.0,0.0
19,Jammu And Kashmir,2009,Wind Power,0.0,0.0
20,Jammu And Kashmir,2010,Bio-Mass Power,0.93,0.0
21,Jammu And Kashmir,2010,Small Hydro Power,0.93,129.33
22,Jammu And Kashmir,2010,Solar Power,0.93,0.0
23,Jammu And Kashmir,2010,Waste to Energy,0.93,0.0
24,Jammu And Kashmir,2010,Wind Power,0.93,0.0
25,Jammu And Kashmir,2011,Bio-Mass Power,0.0,0.0
26,Jammu And Kashmir,2011,Small Hydro Power,0.0,130.53
27,Jammu And Kashmir,2011,Solar Power,0.0,0.0
28,Jammu And Kashmir,2011,Waste to Energy,0.0,0.0
29,Jammu And Kashmir,2011,Wind Power,0.0,0.0
30,Jammu And Kashmir,2012,Bio-Mass Power,13.02,0.0
31,Jammu And Kashmir,2012,Small Hydro Power,13.02,130.53
32,Jammu And Kashmir,2012,Solar Power,13.02,0.0
33,Jammu And Kashmir,2012,Waste to Energy,13.02,0.0
34,Jammu And Kashmir,2012,Wind Power,13.02,0.0
35,Jammu And Kashmir,2013,Bio-Mass Power,6.1,0.0
36,Jammu And Kashmir,2013,Small Hydro Power,6.1,147.53
37,Jammu And Kashmir,2013,Solar Power,6.1,0.0
38,Jammu And Kashmir,2013,Waste to Energy,6.1,0.0
39,Jammu And Kashmir,2013,Wind Power,6.1,0.0
40,Jammu And Kashmir,2014,Bio-Mass Power,0.64,0.0
41,Jammu And Kashmir,2014,Small Hydro Power,0.64,156.53
42,Jammu And Kashmir,2014,Solar Power,0.64,0.0
43,Jammu And Kashmir,2014,Waste to Energy,0.64,0.0
44,Jammu And Kashmir,2014,Wind Power,0.64,0.0
45,Jammu And Kashmir,2015,Bio-Mass Power,1.18,0.0
46,Jammu And Kashmir,2015,Small Hydro Power,1.18,156.53
47,Jammu And Kashmir,2015,Solar Power,1.18,1.0
48,Jammu And Kashmir,2015,Waste to Energy,1.18,0.0
49,Jammu And Kashmir,2015,Wind Power,1.18,0.0
50,Jammu And Kashmir,2016,Bio-Mass Power,0.0,0.0
51,Jammu And Kashmir,2016,Small Hydro Power,0.0,158.03
52,Jammu And Kashmir,2016,Solar Power,0.0,1.36
53,Jammu And Kashmir,2016,Waste to Energy,0.0,0.0
54,Jammu And Kashmir,2016,Wind Power,0.0,0.0
55,Jammu And Kashmir,2017,Bio-Mass Power,7.47,0.0
56,Jammu And Kashmir,2017,Small Hydro Power,7.47,179.03
57,Jammu And Kashmir,2017,Solar Power,7.47,1.36
58,Jammu And Kashmir,2017,Waste to Energy,7.47,0.0
59,Jammu And Kashmir,2017,Wind Power,7.47,0.0
60,Jammu And Kashmir,2018,Bio-Mass Power,3.05,0.0
61,Jammu And Kashmir,2018,Small Hydro Power,3.05,179.03
62,Jammu And Kashmir,2018,Solar Power,3.05,14.83
63,Jammu And Kashmir,2018,Waste to Energy ,3.05,0.0
64,Jammu And Kashmir,2018,Wind Power,3.05,0.0
65,Jammu And Kashmir,2019,Bio-Mass Power,3.5,0.0
66,Jammu And Kashmir,2019,Small Hydro Power,3.5,180.48
67,Jammu And Kashmir,2019,Solar Power,3.5,19.3
68,Jammu And Kashmir,2019,Waste to Energy ,3.5,0.0
69,Jammu And Kashmir,2019,Wind Power,3.5,0.0
70,Jammu And Kashmir,2020,Bio-Mass Power,4.8,0.0
71,Jammu And Kashmir,2020,Small Hydro Power,4.8,185.98
72,Jammu And Kashmir,2020,Solar Power,4.8,42.13
73,Jammu And Kashmir,2020,Waste to Energy ,4.8,0.0
74,Jammu And Kashmir,2020,Wind Power,4.8,0.0
75,Jammu And Kashmir,2021,Bio-Mass Power,4.8,0.0
76,Jammu And Kashmir,2021,Small Hydro Power,4.8,184.32
77,Jammu And Kashmir,2021,Solar Power,4.8,54.73
78,Jammu And Kashmir,2021,Waste to Energy ,4.8,0.0
79,Jammu And Kashmir,2021,Wind Power,4.8,0.0
80,Himachal Pradesh,2006,Bio-Mass Power,0.0,0.0
81,Himachal Pradesh,2006,Small Hydro Power,0.0,141.62
82,Himachal Pradesh,2006,Solar Power,0.0,0.0
83,Himachal Pradesh,2006,Waste to Energy,0.0,0.0
84,Himachal Pradesh,2006,Wind Power,0.0,0.0
85,Himachal Pradesh,2007,Bio-Mass Power,42.0,0.0
86,Himachal Pradesh,2007,Small Hydro Power,42.0,162.62
87,Himachal Pradesh,2007,Solar Power,42.0,0.0
88,Himachal Pradesh,2007,Waste to Energy,42.0,0.0
89,Himachal Pradesh,2007,Wind Power,42.0,0.0
90,Himachal Pradesh,2008,Bio-Mass Power,43.04,0.0
91,Himachal Pradesh,2008,Small Hydro Power,43.04,162.62
92,Himachal Pradesh,2008,Solar Power,43.04,0.0
93,Himachal Pradesh,2008,Waste to Energy,43.04,0.0
94,Himachal Pradesh,2008,Wind Power,43.04,0.0
95,Himachal Pradesh,2009,Bio-Mass Power,19.12,0.0
96,Himachal Pradesh,2009,Small Hydro Power,19.12,330.32
97,Himachal Pradesh,2009,Solar Power,19.12,0.0
98,Himachal Pradesh,2009,Waste to Energy,19.12,0.0
99,Himachal Pradesh,2009,Wind Power,19.12,0.0
100,Himachal Pradesh,2010,Bio-Mass Power,34.1,0.0
101,Himachal Pradesh,2010,Small Hydro Power,34.1,393.47
102,Himachal Pradesh,2010,Solar Power,34.1,0.0
103,Himachal Pradesh,2010,Waste to Energy,34.1,0.0
104,Himachal Pradesh,2010,Wind Power,34.1,0.0
105,Himachal Pradesh,2011,Bio-Mass Power,11.42,0.0
106,Himachal Pradesh,2011,Small Hydro Power,11.42,527.66
107,Himachal Pradesh,2011,Solar Power,11.42,0.0
108,Himachal Pradesh,2011,Waste to Energy,11.42,0.0
109,Himachal Pradesh,2011,Wind Power,11.42,0.0
110,Himachal Pradesh,2012,Bio-Mass Power,8.68,0.0
111,Himachal Pradesh,2012,Small Hydro Power,8.68,587.91
112,Himachal Pradesh,2012,Solar Power,8.68,0.0
113,Himachal Pradesh,2012,Waste to Energy,8.68,0.0
114,Himachal Pradesh,2012,Wind Power,8.68,0.0
115,Himachal Pradesh,2013,Bio-Mass Power,18.14,0.0
116,Himachal Pradesh,2013,Small Hydro Power,18.14,638.91
117,Himachal Pradesh,2013,Solar Power,18.14,0.0
118,Himachal Pradesh,2013,Waste to Energy,18.14,0.0
119,Himachal Pradesh,2013,Wind Power,18.14,0.0
120,Himachal Pradesh,2014,Bio-Mass Power,9.61,0.0
121,Himachal Pradesh,2014,Small Hydro Power,9.61,723.91
122,Himachal Pradesh,2014,Solar Power,9.61,0.0
123,Himachal Pradesh,2014,Waste to Energy,9.61,0.0
124,Himachal Pradesh,2014,Wind Power,9.61,0.0
125,Himachal Pradesh,2015,Bio-Mass Power,4.92,0.0
126,Himachal Pradesh,2015,Small Hydro Power,4.92,793.31
127,Himachal Pradesh,2015,Solar Power,4.92,0.2
128,Himachal Pradesh,2015,Waste to Energy,4.92,0.0
129,Himachal Pradesh,2015,Wind Power,4.92,0.0
130,Himachal Pradesh,2016,Bio-Mass Power,0.0,0.0
131,Himachal Pradesh,2016,Small Hydro Power,0.0,831.81
132,Himachal Pradesh,2016,Solar Power,0.0,0.73
133,Himachal Pradesh,2016,Waste to Energy,0.0,0.0
134,Himachal Pradesh,2016,Wind Power,0.0,0.0
135,Himachal Pradesh,2017,Bio-Mass Power,3.42,7.2
136,Himachal Pradesh,2017,Small Hydro Power,3.42,853.11
137,Himachal Pradesh,2017,Solar Power,3.42,0.73
138,Himachal Pradesh,2017,Waste to Energy,3.42,0.0
139,Himachal Pradesh,2017,Wind Power,3.42,0.0
140,Himachal Pradesh,2018,Bio-Mass Power,6.87,7.2
141,Himachal Pradesh,2018,Small Hydro Power,6.87,860.61
142,Himachal Pradesh,2018,Solar Power,6.87,22.68
143,Himachal Pradesh,2018,Waste to Energy ,6.87,0.0
144,Himachal Pradesh,2018,Wind Power,6.87,0.0
145,Himachal Pradesh,2019,Bio-Mass Power,3.8,7.2
146,Himachal Pradesh,2019,Small Hydro Power,3.8,911.51
147,Himachal Pradesh,2019,Solar Power,3.8,32.93
148,Himachal Pradesh,2019,Waste to Energy ,3.8,0.0
149,Himachal Pradesh,2019,Wind Power,3.8,0.0
150,Himachal Pradesh,2020,Bio-Mass Power,4.4,9.2
151,Himachal Pradesh,2020,Small Hydro Power,4.4,936.11
152,Himachal Pradesh,2020,Solar Power,4.4,50.28
153,Himachal Pradesh,2020,Waste to Energy ,4.4,1.0
154,Himachal Pradesh,2020,Wind Power,4.4,0.0
155,Himachal Pradesh,2021,Bio-Mass Power,4.4,9.2
156,Himachal Pradesh,2021,Small Hydro Power,4.4,954.11
157,Himachal Pradesh,2021,Solar Power,4.4,76.16
158,Himachal Pradesh,2021,Waste to Energy ,4.4,1.0
159,Himachal Pradesh,2021,Wind Power,4.4,0.0
160,Punjab,2006,Bio-Mass Power,0.0,28.0
161,Chandigarh,2014,Wind Power,51.24,0.0
162,Punjab,2006,Small Hydro Power,0.0,123.9
163,Punjab,2006,Solar Power,0.0,0.32
164,Punjab,2006,Waste to Energy,0.0,1.0
165,Punjab,2006,Wind Power,0.0,0.0
166,Punjab,2007,Bio-Mass Power,0.1699919736056689,28.0
